Product Code,Description,Type,Category,Old Customer Price (£),New Customer Price (£),Price Change (£),Price Change (%)
MT-NY/SL-25-B,Multi-Tool Nylon Sleeve - 25mm - Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-30,Multi-Tool Nylon Sleeve - 30mm - Black,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-30-B,Multi-Tool Nylon Sleeve - 30mm - Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-35,Multi-Tool Nylon Sleeve - 35mm - Black,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-35-B,Multi-Tool Nylon Sleeve - 35mm - Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-GUK-B,Multi-Tool Nylon Sleeve - 35mm - GUK - Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-HH-30-B,Multi-Tool Nylon Sleeve 30mm H&H Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-HH-35,Multi-Tool Nylon Sleeve 35mm H&H Black,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-HH-35-B,Multi-Tool Nylon Sleeve 35mm H&H Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-MB,Multi-Tool Nylon Sleeve - 20mm - MB - Black,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-MB-B,Multi-Tool Nylon Sleeve - 20mm - MB - Blue,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
PD-NY/SL-25,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
MT-NY/SL-GUK,Multi-Tool Nylon Sleeve - 35mm - GUK - Black,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-25-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-30,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-30-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-35,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-35-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-36-STA,Standard Micro-Perforator Nylon Sleeve - 36mm - Black,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-36-STA-B,Standard Micro-Perforator Nylon Sleeve - 36mm - Blue,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-50-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,46.00,48.67,2.67,5.8
PD-NY/SL-BF-22,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-BF-22-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-BF-28,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-BF-28B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-CSM,Black Nylon Sleeve for CreaseStream Mini,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-CSM-B,Blue Nylon Sleeve for CreaseStream Mini,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-DM/30,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-DM/30-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-GU,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-GU-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-30,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-30-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-35,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-35-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-40,Micro-Perforator Nylon Sleeve - 40mm - H&H - Black,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HH-40B,Micro-Perforator Nylon Sleeve - 40mm - H&H - Blue,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HO,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-HO/B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MB,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MB-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MF-40,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MF-40-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MO,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-MO-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-PET-40,White Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-RO,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-RO-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-ROS,Black Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
PD-NY/SL-ROS-B,Blue Micro-Perforator Nylon Sleeve,consumable,Nylon Sleeve - Perforation Device,42.00,48.67,6.67,15.9
DU-ST/BK-PC,Spine-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
DU-ST/WH-PC,Spine-Creaser White Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
DU-ST/YE-PC,Spine-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-BF/28-B,Tri-Creaser Easy Fit Blue Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-BF/28-R,Tri-Creaser Easy Fit Red Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-BF/28-Y,Tri-Creaser Easy Fit Yellow Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HH/30-Y,Tri-Creaser Easy Fit Yellow Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HH/67.5,Black Plastic Creaser for H&H 67.5mm Easy Fit,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HH/67.5-B,Blue Plastic Creaser for H&H 67.5mm Easy Fit,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HH/67.5-W,White Plastic Creaser for H&H 67.5mm Easy Fit,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HO/50-B,Tri-Creaser Easy Fit Blue Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC-HO/50-Y,Tri-Creaser Easy Fit Yellow Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/25-B,Tri-Creaser Easy Fit Blue Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/25-Y,Tri-Creaser Easy Fit Yellow Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/30-B,30mm MBO Blue Easy Fit Plastic Creaser,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/30-Y,30mm MBO Yellow Easy Fit Plastic Creaser,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/35-B,35mm Stahl/MBO Blue Easy Fit Plastic Creaser,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/35-R,35mm Stahl/MBO Red Easy-Fit Plastic Creaser,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/35-Y,35mm Stahl/MBO Yellow Easy Fit Plastic Creaser,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
EF-PC/KORA,Tri-Creaser Easy Fit Black Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-BF/28-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-BF/28-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-BF/28-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-GU/35-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-GU/35-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-GU/35-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HH/30-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HH/35,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HO/50,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HO/50-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HO/50-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-HO/50-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-MB/20,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-MB/20-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-RO/25-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-RO/25-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-RO/25-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-ROS/25-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-SH/55-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-SH/55-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-SH/65-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-ZA/40-B,Nylon Creasing Rib Blue Setting Zander 2,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC-ZA/40-Y,Nylon Creasing Rib Yellow Setting Zander 2,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/25,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/25-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/25-W,Tri-Creaser Fast Fit White Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/25-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/30,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/30-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/30-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/30-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/35,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/35-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/35-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/35-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/DM-B,Tri-Creaser Fast Fit Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/DM-R,Tri-Creaser Fast Fit Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
FF-PC/DM-Y,Tri-Creaser Fast Fit Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
HO-ST/BK-PC,Spine-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
HO-ST/BL-PC,Spine- & Quad-Creaser Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
HO-ST/WH-PC,Spine-Creaser White Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
HO-ST/YE-PC,Spine- & Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
MT-NY/SL-HH-30,Multi-Tool Nylon Sleeve 30mm H&H Black,consumable,Plastic Creasing Band,42.00,48.67,6.67,15.9
PC-PC-LO-BLK,Tri-Creaser Fast Fit Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-GO-6/PC-B,Quad-Creaser Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-GO-6/PC-Y,Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-KB-114/PC,Black Setting Kolbus 114 Plastic Creaser,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-DEL-KB-114/PC-B,Blue Setting Kolbus 114 Plastic Creaser,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-DEL-KB-26/PC,Quad-Creaser White Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-KB-26/PC-Y,Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-KB-94/PC,Kolbus 94 Nylon Rib 94.95mm,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-DEL-MPB/PC-B,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-MPB/PC-R,Quad-Creaser Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-MPB/PC-Y,Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-UB-6-01/PC,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-UB-6-01/PC-B,Quad-Creaser Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-UB-6/PC,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-DEL-UB-6/PC-EXH,Quad-Creaser White Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-DEL-WO-98/PC,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-WO-98/PC-O,Quad-Creaser Orange Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-DEL-WO-98/PC-W,Quad-Creaser White Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-KB-94,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-KB-94-B,Quad-Creaser Blue Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-KB-94-O,Quad-Creaser Orange Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-KB-94-W,Quad-Creaser White Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-KB-94-Y,Quad-Creaser Yellow Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-ALE/PC-BLK,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-ALE/PC-Y,Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA/PC,Black Muller Panda Extra Heavy Plastic Creaser 26.72mm,consumable,Plastic Creasing Band,23.00,30.13,7.13,31.0
QC-MU-PA/PC-B,Blue Muller Panda Medium Plastic Creaser 26.52mm,consumable,Plastic Creasing Band,23.00,30.13,7.13,31.0
QC-MU-PA/PC-R,Red Muller Panda Light Plastic Creaser 26.92mm,consumable,Plastic Creasing Band,23.00,30.13,7.13,31.0
QC-MU-PA/PC-W,White Muller Panda Light Plastic Creaser 26.80mm,consumable,Plastic Creasing Band,23.00,30.13,7.13,31.0
QC-MU-PA/PC-Y,Yellow Muller Panda Heavy Plastic Creaser 26.62mm,consumable,Plastic Creasing Band,23.00,30.13,7.13,31.0
QC-MU-PA01/PC-B,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-B-B,Blue Medium Nylon Creasing Rib Panda 2 bottom shaft/double,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-B-T,Blue Medium Nylon Creasing Rib Panda 2 topshaft/single chamf,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-O-B,Orange Light Nylon Creasing Rib Panda 2 bottom shaft/double,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-O-T,Orange Light Creasing Rib Panda 2 top shaft/single chamfer,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-T,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-W-B,Quad-Creaser White Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-W-T,Quad-Creaser White Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-Y-B,Quad-Creaser Yellow Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PA01/PC-Y-T,Quad-Creaser Yellow Dot Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PAN/PC,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PAN/PC-B,Quad-Creaser Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
QC-MU-PO/PC,Black Muller Pony Plastic Creaser 26.22,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-MU-PO/PC-B,Blue Muller Pony Plastic Creaser 25.96,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-MU-PO/PC-O,Orange Muller Pony Plastic Creaser 25.86,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-MU-PO/PC-W,White Muller Pony Plastic Creaser 26.32,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-MU-PO/PC-Y,Yellow Muller Pony Plastic Creaser 26.12,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
QC-MU-TRE/PC,Muller Trend Binder Black Plastic Creaser,consumable,Plastic Creasing Band,38.00,55.62,17.62,46.4
SC-MU/PC-RB-5-B-MOD,Quad-Creaser Blue Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
SC-MU/PC-RB-5-MOD,Quad-Creaser Black Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
SC-MU/PC-RB-5-R,Quad-Creaser Red Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
SC-MU/PC-RB-5-W-MOD,Quad-Creaser White Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
SC-MU/PC-RB-5-Y-MOD,Quad-Creaser Yellow Split Plastic Creasing Rib,consumable,Plastic Creasing Band,28.00,34.77,6.77,24.2
MOULD-101,Tri-Creaser Fast Fit Orange Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-102,Yellow Fast Fit MB 20mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,22.00,26.00,4.00,18.2
MOULD-102SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-103,Yellow Fast Fit Rollem Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-103X,Quad-Creaser Yellow Split Creasing Rib,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-104,Yellow Fast-Fit GUK 59.4mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-104SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-105,Tri-Creaser Fast Fit Yellow Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-106,Yellow Fast-Fit 30mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-107,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-108,Tri-Creaser Fast Fit Yellow Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-109,Orange Fast-Fit 30mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-110,Blue Fast-Fit 30mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-111,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-112,Tri-Creaser Fast Fit Orange Split Gripper Crease with lugs,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-113,Blue Fast-Fit GUK 59.4mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-113SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-114,Orange Fast-Fit GUK 59.4mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-114SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-115,Blue Fast-Fit Rollem Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-115X,Quad-Creaser Blue Split Creasing Rib,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-116,Orange Fast Fit Rollem Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-117,Blue Fast Fit MB 20mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-117SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-118,Orange Fast Fit MB 20mm Split Lugged Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-118SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-119SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
MOULD-120SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,consumable,Rubber Creasing Band,23.00,26.00,3.00,13.0
